,SCHOOL_YEAR,DIV_NAME,SCH_NAME,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,COHORT_CNT,DIPLOMA_RATE,DROPOUT_RATE
2804,2018-2019,Arlington County,Arlington Community High,4.0,F,N,N,N,1,0.0,0.0
2805,2018-2019,Arlington County,Wakefield High,4.0,F,N,N,N,21,100.0,0.0
2806,2018-2019,Arlington County,Washington-Lee High,4.0,F,N,N,N,22,90.9090909090909,9.090909090909092
2807,2018-2019,Arlington County,Yorktown High,4.0,F,N,N,N,9,100.0,0.0
2809,2018-2019,Arlington County,Wakefield High,5.0,F,N,N,N,40,97.5,0.0
2810,2018-2019,Arlington County,Washington-Lee High,5.0,F,N,N,N,131,100.0,0.0
2811,2018-2019,Arlington County,Yorktown High,5.0,F,N,N,N,137,99.27007299270073,0.7299270072992701
2817,2018-2019,Arlington County,Wakefield High,99.0,F,N,N,N,6,100.0,0.0
2818,2018-2019,Arlington County,Washington-Lee High,99.0,F,N,N,N,13,100.0,0.0
2819,2018-2019,Arlington County,Yorktown High,99.0,F,N,N,N,14,100.0,0.0
2825,2018-2019,Arlington County,Wakefield High,2.0,M,N,N,N,11,90.9090909090909,9.090909090909092
2826,2018-2019,Arlington County,Washington-Lee High,2.0,M,N,N,N,9,100.0,0.0
2829,2018-2019,Arlington County,Wakefield High,3.0,M,N,N,N,22,100.0,0.0
2830,2018-2019,Arlington County,Washington-Lee High,3.0,M,N,N,N,7,71.42857142857143,14.285714285714286
2832,2018-2019,Arlington County,Arlington Community High,4.0,M,N,N,N,2,50.0,50.0
2833,2018-2019,Arlington County,Wakefield High,4.0,M,N,N,N,20,95.0,0.0
2834,2018-2019,Arlington County,Washington-Lee High,4.0,M,N,N,N,16,93.75,6.25
2835,2018-2019,Arlington County,Yorktown High,4.0,M,N,N,N,23,100.0,0.0
2837,2018-2019,Arlington County,Wakefield High,5.0,M,N,N,N,45,95.55555555555556,0.0
2838,2018-2019,Arlington County,Washington-Lee High,5.0,M,N,N,N,136,100.0,0.0
2839,2018-2019,Arlington County,Yorktown High,5.0,M,N,N,N,139,99.28057553956835,0.7194244604316546
2845,2018-2019,Arlington County,Wakefield High,99.0,M,N,N,N,13,92.3076923076923,7.6923076923076925
2846,2018-2019,Arlington County,Washington-Lee High,99.0,M,N,N,N,18,100.0,0.0
2847,2018-2019,Arlington County,Yorktown High,99.0,M,N,N,N,12,100.0,0.0
2853,2018-2019,Arlington County,Wakefield High,2.0,F,Y,N,N,1,0.0,100.0
2857,2018-2019,Arlington County,Wakefield High,3.0,F,Y,N,N,1,0.0,100.0
2858,2018-2019,Arlington County,Washington-Lee High,3.0,F,Y,N,N,1,100.0,0.0
2861,2018-2019,Arlington County,Wakefield High,4.0,F,Y,N,N,1,100.0,0.0
2862,2018-2019,Arlington County,Washington-Lee High,4.0,F,Y,N,N,2,100.0,0.0
2863,2018-2019,Arlington County,Yorktown High,4.0,F,Y,N,N,1,100.0,0.0
2865,2018-2019,Arlington County,Wakefield High,5.0,F,Y,N,N,2,50.0,50.0
2866,2018-2019,Arlington County,Washington-Lee High,5.0,F,Y,N,N,10,100.0,0.0
2867,2018-2019,Arlington County,Yorktown High,5.0,F,Y,N,N,17,100.0,0.0
